OrderNumber,OrderDateTime,CustomerNumber,CustomerName,Address1,Address2,City,Province,OrderTotal,OrderSource,ContactName,ContactEmail,InternalOrder,ScheduledDelivery,ScheduledDeliveryDate
773043,2024-10-09 18:43:05,CUST0015,Johnson-Brown,15083 John Plaza,,Nicoleside,CT,4968.08,Online,Gaff,cindymiller@robinson.com,0,0,
451815,2024-01-30 05:17:44,CUST0275,"Perez, Spencer and White",0324 Paul Plaza,Apt. 397,Wardbury,AL,3378.81,Phone,Zhora,hpeterson@blake-sherman.com,0,0,
809199,2023-08-05 23:38:32,CUST0213,Woodward PLC,23738 Jackson Stravenue,,South Devin,MS,3353.79,Email,Gaff,meganlee@steele.com,1,0,
649311,2024-01-23 20:04:47,CUST0473,"Mcmillan, Freeman and Ali",334 Sydney Alley Apt. 409,,Alyssaborough,OK,1395.92,Fax,J.F. Sebastian,fernandezdeborah@garrett-armstrong.com,1,0,
774306,2023-02-19 02:51:36,CUST0342,"Patterson, Kelly and Patrick",5742 Jason Springs Suite 676,,Lake Devinview,WA,1540.97,SalesRep,Pris Stratton,paul54@murray.com,0,1,2023-12-08
875485,2024-04-30 05:31:33,CUST0394,Vargas LLC,23694 Michele Cove,,Austinshire,VA,3006.25,Online,Roy Batty,mthomas@white-morris.com,0,0,
674574,2024-07-16 14:01:58,CUST0484,Murphy Group,68238 Weber Shoals Apt. 704,,Lorimouth,MD,2730.2,SalesRep,Rick Deckard,matthewmoore@gmail.com,1,1,2025-06-11
216186,2023-09-14 01:58:35,CUST0130,"Mcbride, Rodriguez and Kelly",91665 Blake Lock Apt. 630,,Loweryville,TN,1243.65,Online,J.F. Sebastian,stanleyleslie@yahoo.com,1,1,2024-04-08
387997,2024-07-14 10:06:29,CUST0224,Romero-Arellano,4333 Brady Heights,,Perezhaven,GA,1991.2,Cash Counter,J.F. Sebastian,drobinson@smith-massey.com,0,0,
186561,2023-04-29 11:01:21,CUST0487,Mullen-Morgan,74176 Mcguire Rest Apt. 456,,Richardview,CO,4938.21,Online,Pris Stratton,balexander@hotmail.com,0,1,2024-08-05
667072,2023-04-07 20:07:43,CUST0073,Smith-Morse,9550 Sarah Hills,,Dustinshire,NC,3489.19,Fax,J.F. Sebastian,lrich@hotmail.com,1,1,2025-06-18
634492,2024-06-17 06:31:05,CUST0496,Juarez-Diaz,531 Lowe Point Suite 896,,Griffithhaven,SD,1518.31,Fax,Bryant,xlang@frazier-barnett.com,0,1,2024-07-16
234661,2024-06-29 12:27:36,CUST0428,Lindsey-Williams,9685 Roach Springs,,Moranville,LA,2022.72,Online,Zhora,benjaminzamora@gmail.com,1,1,2025-05-21
352142,2024-05-31 07:16:27,CUST0338,"Clay, Cordova and Wilson",750 James Motorway,,Cortezhaven,NH,660.28,SalesRep,Pris Stratton,sydney52@dalton.com,1,0,
297276,2024-11-01 14:40:38,CUST0217,Blake-Johnson,9537 Wilson Shores,Suite 138,South Dawn,WA,1826.05,Fax,Gaff,dbrandt@yahoo.com,0,1,2025-03-05
454500,2023-09-12 00:10:30,CUST0403,Davis-Murphy,877 Leonard Glen Apt. 679,,Stephaniehaven,MS,125.14,Fax,Pris Stratton,hillamy@hotmail.com,0,1,2025-05-31
772152,2023-03-24 18:37:48,CUST0445,"Jenkins, Hughes and Hall",6585 Alan Shore Apt. 115,,Josephburgh,OK,2503.12,Phone,Rick Deckard,carterandrew@david.org,0,0,
391946,2024-09-06 06:10:22,CUST0424,"Brandt, Murphy and Bird",5551 William Circles Apt. 780,,North Bryanberg,SD,4879.91,Fax,Roy Batty,qjones@hotmail.com,0,1,2025-02-01
687922,2024-10-13 12:00:48,CUST0197,"Weaver, Romero and Hunter",71874 Adam Motorway Suite 937,Apt. 391,Robinsonport,TX,3492.49,Phone,Roy Batty,laurie98@curtis.org,0,0,
322674,2023-06-12 18:05:31,CUST0454,"Conway, Turner and Harrison",5163 Keith Motorway,Suite 545,Lydiachester,SD,630.35,Cash Counter,Rick Deckard,aparker@gmail.com,0,1,2024-08-12
120469,2023-03-24 20:07:26,CUST0248,Taylor Ltd,8703 Harold Parks Suite 633,,West Patriciafurt,NM,3658.92,Phone,Bryant,michaeldavis@donaldson.com,1,1,2024-01-06
440269,2024-09-10 17:03:02,CUST0287,Griffith Inc,03236 Allen Drive,,North Jeffreymouth,WI,2032.28,Phone,J.F. Sebastian,fscott@hotmail.com,1,0,
943163,2023-12-01 04:22:50,CUST0043,"Wolfe, Smith and Ortega",87903 Santos Road Apt. 549,,Lake Scottshire,IN,2536.45,Email,Rachael,kirstenbarrett@romero.net,1,1,2025-05-03
850496,2023-07-28 22:37:32,CUST0037,Montgomery-Lamb,365 Megan Ports,,Linmouth,VT,3858.33,Phone,Roy Batty,brittanycampos@gmail.com,0,1,2025-03-22
416516,2024-09-18 04:33:40,CUST0315,"Higgins, Singh and Martin",9054 Patrick Mountain,,Freemanbury,IA,1786.35,Cash Counter,Pris Stratton,laurenmelendez@yahoo.com,1,0,
582630,2023-06-20 06:02:58,CUST0216,Ortiz-Jackson,23520 Brenda Curve,Apt. 422,Lake Joseph,ME,1597.53,SalesRep,Rachael,barbara28@carter.com,1,1,2023-06-21
214137,2024-04-19 17:43:30,CUST0354,Dixon-Brown,84957 Leblanc Green Suite 775,,East Douglasview,VA,4191.92,Email,Pris Stratton,harrispatrick@rice.net,1,1,2024-10-25
143564,2023-06-05 10:02:21,CUST0444,Cruz LLC,977 Mclean Centers Suite 475,,East Robert,KY,1356.26,Online,J.F. Sebastian,rodney68@gmail.com,0,0,
557868,2023-11-29 17:44:57,CUST0125,"Vincent, Williams and Miller",845 Monique Curve Apt. 479,,Valerieburgh,WY,3543.73,Fax,J.F. Sebastian,andre65@gmail.com,0,1,2025-04-22
799420,2023-01-21 20:02:21,CUST0481,"Ford, Tucker and Wilson",05991 Denise Tunnel Apt. 757,,West Debra,NJ,4373.3,Email,Gaff,kingmelissa@thompson-richardson.com,0,1,2023-03-16
592959,2023-02-08 05:43:25,CUST0476,Lang PLC,63627 Santos Parkway,,West Manuel,MA,3410.15,Fax,Rick Deckard,latoya93@page-marquez.com,0,0,
173057,2024-12-09 00:05:57,CUST0190,Stuart-Hall,085 Denise Spring Apt. 350,,North Johnstad,CO,427.36,SalesRep,Rachael,leahwebster@rojas-perez.com,1,1,2025-03-23
440591,2023-08-04 14:25:50,CUST0171,"Mckee, Gomez and Thompson",7885 Emily Lodge Suite 589,,Port Cherylton,NM,4440.67,Phone,Pris Stratton,natasha00@yahoo.com,1,1,2024-02-12
119785,2024-02-09 07:12:01,CUST0029,Williams Group,404 Gilbert Lodge,,Camposshire,NY,3310.17,Phone,Rachael,khodges@hotmail.com,1,1,2024-09-21
640400,2024-02-01 13:43:59,CUST0194,"Wilson, Davis and Chambers",12816 Clifford Courts Suite 356,,Port Briannatown,WY,1123.01,Email,Roy Batty,thenry@yahoo.com,1,1,2024-11-29
600390,2023-07-29 10:39:24,CUST0387,Meyer LLC,579 Owens Roads,,Port Karen,KS,53.08,SalesRep,Rick Deckard,michaelsheppard@clay-smith.com,0,0,
141400,2024-05-21 10:32:47,CUST0047,Houston PLC,30785 Sandra Ridges,,New Lindsey,SD,4197.95,SalesRep,Gaff,morrismichael@hotmail.com,1,1,2024-09-07
691905,2023-06-11 19:37:52,CUST0156,Peters-Gonzalez,9929 Kimberly Island Suite 507,,Lindsayberg,OK,97.0,Cash Counter,Rick Deckard,lauren36@morgan-chavez.org,1,0,
717779,2024-06-18 08:48:07,CUST0412,"Drake, Higgins and Davis",7177 Andrew Tunnel Apt. 530,,New Lee,PA,4751.99,Email,Pris Stratton,hardysteve@gmail.com,1,1,2024-10-25
460914,2024-05-02 18:56:16,CUST0010,"Walls, Walker and Gomez",221 Ingram Stravenue Suite 899,,West Kaylastad,CA,2214.72,Phone,Roy Batty,cardenasrandy@gmail.com,0,1,2025-03-07
383016,2024-02-23 20:11:13,CUST0285,Reeves Inc,20521 Taylor Creek,,Tiffanystad,MO,2285.04,Fax,Zhora,carl69@gmail.com,1,1,2024-09-05
761122,2024-12-28 03:57:51,CUST0074,Baker-Hernandez,451 Mike Groves,,Pittmanborough,NY,1435.87,Phone,Bryant,ericevans@powell.biz,0,1,2025-01-28
238065,2024-06-24 18:20:56,CUST0065,"Hanson, Rogers and Camacho",2948 Matthew Island,,New Rachelburgh,AL,2550.79,Email,Roy Batty,joshua66@rodriguez.com,1,0,
594085,2023-02-27 15:01:32,CUST0210,Haynes Ltd,83153 Daniel Mountains Suite 293,,North Leslie,WI,3444.34,Fax,Zhora,kray@thompson.com,1,0,
516015,2024-09-06 10:31:01,CUST0247,Fitzgerald LLC,13866 Samuel Skyway Apt. 767,,Michaelton,MS,1872.96,Cash Counter,J.F. Sebastian,michael08@williams-moore.org,1,0,
793272,2023-01-24 00:48:25,CUST0225,Taylor Group,5908 Gerald Fields Apt. 549,,Estesview,KY,3488.55,SalesRep,Roy Batty,kphillips@patterson.com,0,0,
575479,2024-05-16 12:19:36,CUST0177,Moon PLC,9334 Warren Glen,,Katiechester,MD,137.76,Online,Rachael,david55@harper-warren.com,1,0,
823152,2024-06-04 20:19:25,CUST0127,"Sparks, Rose and Hendrix",3059 Hannah Trace Apt. 831,Apt. 713,West Josephstad,CA,4774.55,Phone,Zhora,kellererica@hotmail.com,1,1,2025-05-21
422271,2024-11-16 00:05:48,CUST0285,Reeves Inc,20521 Taylor Creek,,Tiffanystad,MO,4262.51,Email,J.F. Sebastian,markjohnson@yahoo.com,0,0,
577339,2024-06-30 10:28:47,CUST0190,Stuart-Hall,085 Denise Spring Apt. 350,,North Johnstad,CO,3066.87,Cash Counter,Rachael,michael16@yahoo.com,1,0,
795643,2024-11-25 18:23:44,CUST0360,Brown-Cole,7721 Brittany Junction,,Butlerburgh,NV,855.46,Email,Rick Deckard,hlopez@collins-rodriguez.com,0,0,
919328,2024-11-07 15:09:34,CUST0138,"Smith, Kim and Figueroa",3350 Alexander Drives Suite 749,,South Tonya,WA,582.47,Cash Counter,Roy Batty,jessica33@yahoo.com,0,0,
887598,2024-12-08 17:12:46,CUST0151,Roberts-Thomas,109 French Haven Apt. 114,,Christinafort,AK,3537.08,Online,Rachael,rubenbrewer@yahoo.com,0,0,
911792,2023-08-23 08:05:06,CUST0487,Mullen-Morgan,74176 Mcguire Rest Apt. 456,,Richardview,CO,4617.12,Phone,Pris Stratton,mrogers@hotmail.com,0,0,
389784,2023-08-26 17:27:22,CUST0012,Wade-Lin,38905 Harding Mill Apt. 397,,South Betty,MO,570.36,Online,Gaff,jerry05@hotmail.com,0,1,2024-07-17
436643,2024-05-24 17:09:49,CUST0042,"Lewis, Garcia and Conway",61638 Monique Parks Apt. 649,,Odomfort,LA,2169.4,SalesRep,Pris Stratton,johnsonmadeline@gmail.com,1,0,
497889,2024-03-14 06:00:38,CUST0341,Hendricks Inc,1308 Morgan Ports Suite 354,,Johnsonburgh,MO,1988.31,SalesRep,Pris Stratton,jackson42@jones-warner.com,1,0,
106449,2023-03-26 15:20:15,CUST0183,Holmes-Patterson,5222 Parker Row,Suite 359,North Shelby,OH,3738.34,Fax,Rick Deckard,davidgamble@james.com,0,0,
456503,2024-08-05 20:00:09,CUST0229,Hall-Lopez,9837 Tyler Manor,,Vaughnshire,NY,2696.2,Fax,Pris Stratton,marcus54@brown.biz,1,1,2025-03-12
679155,2023-01-17 12:46:10,CUST0457,Brown Ltd,58880 Ricky Loaf,,Port John,WY,779.78,Cash Counter,Roy Batty,bruce64@gmail.com,1,1,2024-01-08
126563,2023-12-14 18:43:55,CUST0440,"Brewer, Quinn and Clarke",13824 Riley Forest,,Singhburgh,MS,4107.12,Email,Gaff,hannah70@yahoo.com,1,1,2024-12-17
122585,2023-10-08 03:21:52,CUST0163,Dalton PLC,5420 Larson Junctions,,Hutchinsonbury,MS,1997.98,SalesRep,Roy Batty,evillanueva@gmail.com,1,1,2024-10-12
203670,2024-02-16 06:13:42,CUST0476,Lang PLC,63627 Santos Parkway,,West Manuel,MA,770.04,SalesRep,Bryant,leejohn@dixon.com,0,1,2024-09-12
750046,2024-03-04 18:46:46,CUST0271,Simmons-Cunningham,25411 Hanson Squares Apt. 772,,Carolburgh,OH,4703.34,Email,Rachael,xlambert@yahoo.com,0,0,
918003,2023-03-13 14:09:47,CUST0018,Patterson-Li,83228 Lisa Corner Apt. 315,,Jilliantown,MD,4328.21,Fax,Bryant,foxmadison@bowers.com,1,0,
206358,2023-07-28 17:41:03,CUST0205,Rice PLC,80183 Watson Center,,East Matthew,KS,4642.28,Cash Counter,Pris Stratton,qmoore@yahoo.com,0,0,
338321,2023-02-16 13:53:42,CUST0095,Taylor-Silva,288 Le Ranch Apt. 733,,Jacquelineborough,DC,3608.17,Fax,Rachael,itucker@gmail.com,1,1,2023-07-30
912677,2024-05-24 04:07:15,CUST0431,"Bennett, Sutton and Hanson",377 Mary Alley,,New Lisa,CT,3103.27,Email,Bryant,amandaferguson@gmail.com,0,1,2025-01-25
843537,2024-10-01 06:25:08,CUST0195,Wyatt-Grant,735 Richardson Pass Suite 509,Suite 627,South Jesus,MS,3667.3,SalesRep,Pris Stratton,williamsmorgan@gmail.com,0,1,2025-04-29
654140,2023-11-02 11:35:34,CUST0080,Carroll-Butler,2858 Smith Shores,,New Anthony,SD,1771.02,SalesRep,Rick Deckard,brandon85@yahoo.com,0,1,2024-04-24
267102,2024-02-16 07:14:24,CUST0428,Lindsey-Williams,9685 Roach Springs,,Moranville,LA,406.77,Online,Rachael,andreabradford@cox.info,0,0,
714040,2024-02-21 04:21:48,CUST0203,"Cox, Hoover and Collins",849 Wilson Drives Apt. 431,,New Matthewberg,AL,2847.82,Online,Bryant,callahanheather@franklin.info,1,0,
452856,2024-02-15 05:03:48,CUST0226,Hale PLC,3781 Pamela Roads,,Lambview,NE,3984.74,SalesRep,Roy Batty,wattsrichard@gmail.com,1,1,2024-06-24
853644,2023-12-28 05:34:05,CUST0051,"Lamb, Miller and Green",321 David Summit Apt. 716,,South Hannah,FL,389.53,Email,Bryant,fholland@wells.info,0,1,2024-02-15
430771,2024-07-11 11:33:37,CUST0265,"Walters, Gates and Wheeler",1831 Christopher Circle Apt. 512,,North Mary,KY,4637.58,Online,Rachael,ycurry@brewer.com,1,0,
621431,2023-09-12 07:20:42,CUST0353,"Garrett, Walton and Blanchard",77971 Graham Valleys Apt. 983,,New Dariusland,IL,1043.6,SalesRep,Roy Batty,brandi69@yahoo.com,0,0,
315976,2023-10-24 13:32:46,CUST0109,"Olson, Moreno and Smith",0468 Jennifer Tunnel Apt. 515,,Lindaborough,RI,3753.41,Cash Counter,Bryant,travis89@griffith.com,1,0,
126285,2024-02-08 04:55:57,CUST0192,"Johnston, Brown and Roberts",914 Craig Expressway,,Port Juanberg,SD,2591.9,Email,Rick Deckard,mnolan@gmail.com,1,1,2024-05-28
833492,2024-07-09 12:52:57,CUST0274,"Schmitt, Carr and Freeman",13230 Devin Place Suite 525,,Patrickberg,IA,1703.28,SalesRep,Gaff,mcguirealicia@gmail.com,0,1,2025-05-07
817567,2024-01-21 13:25:20,CUST0213,Woodward PLC,23738 Jackson Stravenue,,South Devin,MS,1569.23,Fax,Zhora,wirwin@lopez.org,1,1,2024-05-08
373668,2024-10-11 10:20:20,CUST0076,"Carson, Martin and Coleman",6110 Erica Views,,North Tinaburgh,CT,952.72,Online,Rachael,jenniferelliott@gmail.com,1,1,2024-11-05
365435,2023-09-07 07:24:19,CUST0280,Perez Ltd,68240 Colleen Fork,Apt. 356,Donaldview,IN,1512.56,Cash Counter,Bryant,morrisryan@bishop.org,1,1,2025-05-08
770131,2024-09-03 23:49:07,CUST0346,Padilla PLC,9419 Angie Light,,Port Katelynshire,MA,2208.07,Email,Zhora,christopher11@fisher.com,1,1,2025-02-17
827551,2024-10-13 04:43:42,CUST0256,Miller Group,489 Patterson Drive,,Hernandezfurt,SC,2278.81,Cash Counter,Rick Deckard,rachael40@jenkins.com,0,0,
414900,2024-11-16 07:08:09,CUST0300,"Mitchell, Smith and Martinez",3120 Eric Mills,,Davidfurt,NJ,1745.1,Online,Rachael,nortonmaria@williams-lopez.com,1,0,
899455,2024-10-02 15:05:13,CUST0079,Miller Group,934 Sean Cliffs,,Bradleyshire,OK,4219.82,Fax,Rachael,kingkelly@yahoo.com,0,1,2025-05-22
533917,2024-11-17 20:32:00,CUST0377,Fischer Group,276 Carpenter Fall Apt. 343,,Fergusonchester,ME,2812.21,Cash Counter,Gaff,probinson@gmail.com,0,0,
896881,2024-09-26 03:06:10,CUST0239,Davis-Klein,68571 Andrew Brooks Apt. 153,,East Dana,LA,1182.1,SalesRep,Rick Deckard,yduncan@glover-campbell.com,1,0,
671205,2023-05-12 02:02:38,CUST0256,Miller Group,489 Patterson Drive,,Hernandezfurt,SC,2989.78,Online,Bryant,browndebra@allen-robertson.com,0,0,
535062,2024-06-26 00:59:52,CUST0175,Green-Harris,56926 Linda Light Suite 389,,Allenmouth,UT,1309.91,Fax,Pris Stratton,kleinjoseph@smith.com,1,1,2025-03-22
660755,2023-09-06 21:15:35,CUST0463,"Gardner, Taylor and Bell",3849 Rubio Keys,,Rivashaven,OK,680.64,Cash Counter,Zhora,michael29@yahoo.com,0,1,2024-05-02
575870,2024-06-28 09:06:07,CUST0191,Marquez Inc,3359 Johnson Fort,,Anthonyfurt,IL,1416.53,Email,Zhora,jorge16@yahoo.com,1,1,2024-09-23
162436,2023-07-11 16:27:22,CUST0394,Vargas LLC,23694 Michele Cove,,Austinshire,VA,574.36,Email,J.F. Sebastian,zjenkins@hotmail.com,0,1,2025-01-17
